Added,Playtime,Platform,Genres,Stores,Tag,Esrb_rating
3220,11,1,Adventure,1,Atmospheric,No age info
3211,3,3,Action,2,Physics,No age info
3206,9,4,Adventure,4,Multiplayer,No age info
3204,3,5,Puzzle,5,Atmospheric,No age info
3194,1,3,Adventure,2,Steam Achievements,No age info
3194,23,3,Action,3,Story Rich,No age info
3193,5,4,Racing,3,Steam Achievements,No age info
3184,7,3,Shooter,4,Multiplayer,No age info
3183,1,1,Simulation,2,Multiplayer,No age info
3178,6,2,Action,2,Steam Achievements,No age info
3172,5,3,Action,4,Multiplayer,No age info
3171,7,3,RPG,4,Steam Achievements,No age info
3162,7,3,Arcade,2,Steam Achievements,No age info
3159,2,8,Indie,6,Steam Achievements,No age info
3140,11,3,Strategy,2,Steam Achievements,No age info
3133,2,3,Simulation,1,Multiplayer,No age info
3133,8,4,Action,5,Steam Achievements,No age info
3125,1,3,Action,1,Multiplayer,No age info
3124,1,5,Action,3,Multiplayer,No age info
3123,3,6,Action,6,Steam Achievements,No age info
3123,2,5,Shooter,7,Multiplayer,No age info
3116,3,4,Action,4,Steam Achievements,No age info
3112,4,4,Adventure,6,Steam Achievements,No age info
3111,8,3,Indie,3,Co-op,No age info
3111,7,5,Fighting,5,Steam Achievements,No age info
3104,1,2,RPG,2,Atmospheric,No age info
3096,4,4,Arcade,5,Atmospheric,No age info
3094,2,4,Adventure,4,Third Person,No age info
3091,6,4,Adventure,5,Steam Achievements,No age info
3090,1,6,RPG,5,Multiplayer,No age info
3085,5,5,Adventure,3,Steam Achievements,No age info
3085,4,6,Puzzle,5,Steam Achievements,No age info
3075,1,3,Action,1,Multiplayer,No age info
3074,2,3,Shooter,2,Atmospheric,No age info
3070,3,1,Action,1,Multiplayer,No age info
3065,9,6,Adventure,5,Steam Achievements,No age info
3052,1,3,Action,1,Multiplayer,No age info
3045,3,3,Adventure,2,Multiplayer,No age info
3045,3,7,Simulation,5,Steam Achievements,No age info
3032,2,5,Action,2,Multiplayer,No age info
3026,3,1,Action,1,Multiplayer,No age info
3008,6,3,Strategy,1,Steam Achievements,No age info
2998,3,1,RPG,2,Multiplayer,No age info
2998,3,1,Strategy,1,Multiplayer,No age info
2997,4,2,Shooter,2,Steam Achievements,Teen
2996,5,4,Arcade,5,Steam Achievements,Teen
2995,3,1,Adventure,1,exclusive,Teen
2985,3,8,Arcade,6,Steam Achievements,Teen
2983,4,4,Action,5,Steam Achievements,Teen
2981,5,3,Action,4,Steam Achievements,Teen
2979,5,8,Indie,7,Atmospheric,Teen
2977,3,3,Action,4,Steam Achievements,Teen
2975,1,3,Shooter,3,Multiplayer,Teen
2975,5,1,Strategy,1,Steam Achievements,Teen
2974,2,6,Adventure,6,Third Person,Teen
2960,3,1,RPG,2,Multiplayer,Teen
2956,1,1,Adventure,1,Multiplayer,Teen
2952,1,1,Strategy,1,Multiplayer,Teen
2947,6,5,Shooter,6,Multiplayer,Teen
2940,9,6,Strategy,5,Steam Achievements,Teen
2937,5,4,Adventure,5,Steam Achievements,Teen
2936,4,5,Strategy,4,Steam Achievements,Teen
2932,3,5,Board Games,3,Multiplayer,Teen
2929,1,1,Action,2,Atmospheric,Teen
2927,1,4,Action,6,Atmospheric,No age info
2916,3,1,Adventure,1,Multiplayer,No age info
2914,2,4,Strategy,4,Steam Achievements,No age info
2913,5,5,Strategy,6,Steam Achievements,No age info
2910,1,1,Action,2,Multiplayer,No age info
2906,12,8,Card,7,Steam Achievements,No age info
2903,3,2,Adventure,2,Steam Achievements,No age info
2901,4,3,Shooter,2,Multiplayer,No age info
2894,6,4,Simulation,3,Multiplayer,No age info
2883,3,4,Action,3,Multiplayer,No age info
2882,4,4,Strategy,4,Steam Achievements,No age info
2875,5,4,Shooter,3,Steam Achievements,No age info
2872,0,2,Action,1,Atmospheric,No age info
2870,8,3,Action,3,Multiplayer,No age info
2867,2,6,Platformer,7,Full controller support,No age info
2865,3,1,RPG,1,Steam Achievements,No age info
2858,3,3,Action,3,Steam Achievements,No age info
2852,2,5,Action,4,Multiplayer,No age info
2849,1,1,Action,2,Multiplayer,No age info
2844,1,1,Shooter,1,Multiplayer,No age info
2840,0,5,Action,5,Multiplayer,No age info
2839,3,6,Racing,5,Multiplayer,No age info
2837,1,3,Strategy,2,Atmospheric,No age info
2832,4,6,Action,5,Steam Achievements,No age info
2830,5,3,Action,5,Steam Achievements,No age info
2826,0,1,Platformer,1,Local Multiplayer,No age info
2813,4,7,Action,5,Steam Achievements,No age info
2812,1,2,Simulation,2,Steam Achievements,No age info
2811,7,7,Action,7,Steam Achievements,No age info
2808,1,1,Simulation,1,Multiplayer,No age info
2807,4,3,RPG,4,Steam Achievements,No age info
2804,3,2,Action,1,Steam Achievements,No age info
